innings_id,batsman,team,opponent,venue,pitch_type,match_format,batting_avg,strike_rate,batting_style,batting_position,is_home,opponent_strength,runs_scored,balls_faced,fours,sixes,not_out
1,Rahmanullah Gurbaz,Afghanistan,England,"Kensington Oval, Barbados",batting,T20,38.1,102.5,right,1,0,85,27,28,2,0,0
2,Jos Buttler,England,Pakistan,"Wankhede Stadium, Mumbai",batting,T20,39.8,118.2,right,7,0,80,22,15,1,0,0
3,Shakib Al Hasan,Bangladesh,New Zealand,"Lord's, London",pace,ODI,37.8,82.1,left,6,0,83,10,10,0,0,0
4,Mushfiqur Rahim,Bangladesh,New Zealand,"Lord's, London",pace,ODI,36.5,78.9,right,5,0,83,19,33,1,0,0
5,Kane Williamson,New Zealand,England,Melbourne Cricket Ground,pace,T20,48.5,81.3,right,4,0,85,13,17,0,0,0
6,Mahmudullah,Bangladesh,England,"MA Chidambaram Stadium, Chennai",spin,T20,33.9,76.8,right,7,0,85,4,7,0,0,0
7,Tamim Iqbal,Bangladesh,Australia,"R. Premadasa Stadium, Colombo",spin,T20,36.1,80.5,left,1,0,90,15,18,1,0,0
8,Virat Kohli,India,New Zealand,"R. Premadasa Stadium, Colombo",spin,ODI,59.1,93.2,right,3,0,83,18,20,1,0,0
9,Tamim Iqbal,Bangladesh,Afghanistan,"Lord's, London",pace,ODI,36.1,80.5,left,2,0,70,32,47,2,0,0
10,David Warner,Australia,England,"Shere Bangla Stadium, Dhaka",spin,T20,45.3,97.1,left,1,0,85,12,11,0,0,0
11,Nicholas Pooran,West Indies,Afghanistan,"The Oval, London",balanced,ODI,30.5,105.3,left,6,0,70,14,17,1,0,0
12,Mitchell Marsh,Australia,England,"Shere Bangla Stadium, Dhaka",spin,ODI,38.5,92.6,right,6,0,85,21,20,1,0,0
13,Ibrahim Zadran,Afghanistan,South Africa,"MA Chidambaram Stadium, Chennai",spin,ODI,41.2,82.3,right,2,0,84,6,8,0,0,0
14,Mitchell Marsh,Australia,South Africa,Dubai International Stadium,spin,T20,38.5,92.6,right,5,0,84,3,3,0,0,0
15,Rahmanullah Gurbaz,Afghanistan,West Indies,Sydney Cricket Ground,balanced,ODI,38.1,102.5,right,1,0,68,16,17,1,0,0
16,Heinrich Klaasen,South Africa,Afghanistan,Sydney Cricket Ground,balanced,ODI,41.5,112.7,right,6,0,70,34,29,3,1,1
17,Jos Buttler,England,West Indies,"Shere Bangla Stadium, Dhaka",spin,ODI,39.8,118.2,right,7,0,68,18,14,1,0,0
18,Charith Asalanka,Sri Lanka,West Indies,"Eden Gardens, Kolkata",balanced,ODI,35.2,92.1,left,5,0,68,0,1,0,0,0
19,Kane Williamson,New Zealand,India,"MA Chidambaram Stadium, Chennai",spin,T20,48.5,81.3,right,4,0,92,31,36,2,0,0
20,Sadeera Samarawickrama,Sri Lanka,Pakistan,"R. Premadasa Stadium, Colombo",spin,ODI,31.5,84.3,right,5,1,80,43,57,4,1,0
21,Dhananjaya de Silva,Sri Lanka,West Indies,Dubai International Stadium,spin,T20,37.1,86.5,right,6,0,68,1,1,0,0,1
22,David Warner,Australia,Pakistan,Dubai International Stadium,spin,ODI,45.3,97.1,left,1,0,80,12,12,1,0,1
23,Azmatullah Omarzai,Afghanistan,New Zealand,"MA Chidambaram Stadium, Chennai",spin,ODI,32.4,96.8,right,6,0,83,72,68,5,1,0
24,Babar Azam,Pakistan,India,Dubai International Stadium,spin,T20,56.2,88.9,right,3,0,92,0,1,0,0,0
25,Tom Latham,New Zealand,Australia,"Wankhede Stadium, Mumbai",batting,T20,39.8,78.4,left,1,0,90,21,30,2,0,0
26,Glenn Phillips,New Zealand,Australia,Sydney Cricket Ground,balanced,T20,35.6,98.2,right,6,0,90,0,1,0,0,0
27,Harry Brook,England,South Africa,"Wankhede Stadium, Mumbai",batting,T20,48.7,103.2,right,6,0,84,83,84,9,1,0
28,Rassie van der Dussen,South Africa,England,"MA Chidambaram Stadium, Chennai",spin,ODI,48.2,84.5,right,6,0,85,0,1,0,0,0
29,Marnus Labuschagne,Australia,England,Dubai International Stadium,spin,T20,53.1,84.2,right,4,0,85,7,8,0,0,0
30,Jonny Bairstow,England,West Indies,"Lord's, London",pace,ODI,42.3,104.5,right,6,1,68,1,1,0,0,1
31,Mitchell Marsh,Australia,West Indies,"Eden Gardens, Kolkata",balanced,T20,38.5,92.6,right,5,0,68,33,36,2,0,1
32,Hashmatullah Shahidi,Afghanistan,Bangladesh,Melbourne Cricket Ground,pace,ODI,35.6,72.4,left,4,0,65,7,8,0,0,0
33,Quinton de Kock,South Africa,Australia,"Eden Gardens, Kolkata",balanced,ODI,44.6,96.3,left,1,0,90,11,11,0,0,0
34,Nicholas Pooran,West Indies,New Zealand,"Eden Gardens, Kolkata",balanced,ODI,30.5,105.3,left,5,0,83,17,18,1,0,0
35,Devon Conway,New Zealand,Pakistan,"Shere Bangla Stadium, Dhaka",spin,ODI,45.2,85.7,left,1,0,80,45,49,4,1,0
36,Charith Asalanka,Sri Lanka,Bangladesh,"Newlands, Cape Town",pace,ODI,35.2,92.1,left,5,0,65,22,24,1,0,0
