innings_id,bowler,team,opponent,venue,pitch_type,match_format,bowling_avg,bowling_sr,bowling_econ,bowling_type,is_home,opponent_strength,overs_bowled,runs_conceded,wickets_taken,maidens,dot_balls
1,Matt Henry,New Zealand,Sri Lanka,"Hagley Oval, Christchurch",pace,ODI,26.2,28.8,5.0,fast,1,72,8,52,7,1,24
2,Marco Jansen,South Africa,New Zealand,"Newlands, Cape Town",pace,T20,27.1,31.4,5.0,fast,1,83,4,24,2,0,9
3,Noor Ahmad,Afghanistan,New Zealand,Sydney Cricket Ground,balanced,T20,27.5,31.8,4.7,spin,0,83,4,23,2,0,10
4,Gudakesh Motie,West Indies,Pakistan,"Gaddafi Stadium, Lahore",spin,T20,28.5,32.6,4.5,spin,0,80,4,19,3,0,11
5,Shadab Khan,Pakistan,India,"Shere Bangla Stadium, Dhaka",spin,T20,30.8,36.4,5.2,spin,0,92,4,30,4,0,7
6,Taskin Ahmed,Bangladesh,West Indies,"MA Chidambaram Stadium, Chennai",spin,T20,30.5,35.8,5.4,fast,0,68,3,16,0,0,3
7,Tim Southee,New Zealand,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,ODI,29.8,33.5,5.4,fast,0,70,9,49,2,1,24
8,Shadab Khan,Pakistan,India,"Shere Bangla Stadium, Dhaka",spin,T20,30.8,36.4,5.2,spin,0,92,3,18,1,0,7
9,Kagiso Rabada,South Africa,India,"Gaddafi Stadium, Lahore",spin,T20,25.4,28.6,5.2,fast,0,92,4,18,4,0,6
10,Jayden Seales,West Indies,England,"Newlands, Cape Town",pace,ODI,30.1,35.2,5.4,fast,0,85,10,67,7,0,22
11,Alzarri Joseph,West Indies,England,"Newlands, Cape Town",pace,T20,27.5,30.8,5.3,fast,0,85,4,34,2,0,9
12,Fazalhaq Farooqi,Afghanistan,Sri Lanka,Sydney Cricket Ground,balanced,ODI,24.2,26.8,5.1,fast,0,72,7,30,4,1,19
