match_id,season,match_phase,team1,team2,team1_short,team2_short,venue,city,pitch_type,toss_winner,toss_decision,team1_home,team2_home,team1_strength,team2_strength,team1_score,team2_score,winner,winner_short,win_margin,player_of_match
1,2018,league,Rajasthan Royals,Punjab Kings,RR,PBKS,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Punjab Kings,bat,1,0,83,75,187,208,Punjab Kings,PBKS,7 wickets,Jonny Bairstow
2,2024,league,Mumbai Indians,Sunrisers Hyderabad,MI,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Mumbai Indians,field,0,1,88,78,195,200,Sunrisers Hyderabad,SRH,6 wickets,Heinrich Klaasen
3,2020,league,Chennai Super Kings,Sunrisers Hyderabad,CSK,SRH,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Sunrisers Hyderabad,field,0,0,90,78,175,187,Sunrisers Hyderabad,SRH,3 wickets,Bhuvneshwar Kumar
4,2022,playoff,Punjab Kings,Rajasthan Royals,PBKS,RR,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Rajasthan Royals,bat,0,0,75,83,135,163,Rajasthan Royals,RR,33 runs,Sanju Samson
5,2020,league,Delhi Capitals,Lucknow Super Giants,DC,LSG,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,bat,1,0,80,81,188,196,Lucknow Super Giants,LSG,8 runs,Nicholas Pooran
6,2020,league,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH,RCB,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Sunrisers Hyderabad,field,0,1,78,82,183,198,Royal Challengers Bangalore,RCB,4 wickets,Rajat Patidar
7,2022,league,Delhi Capitals,Rajasthan Royals,DC,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Rajasthan Royals,bat,0,1,80,83,197,170,Delhi Capitals,DC,3 wickets,Jake Fraser-McGurk
8,2023,league,Punjab Kings,Kolkata Knight Riders,PBKS,KKR,"IS Bindra Stadium, Mohali",Mohali,pace,Kolkata Knight Riders,field,1,0,75,85,151,153,Kolkata Knight Riders,KKR,17 runs,Rinku Singh
9,2019,league,Punjab Kings,Gujarat Titans,PBKS,GT,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Punjab Kings,bat,0,0,75,86,171,144,Punjab Kings,PBKS,7 runs,Sam Curran
10,2021,final,Chennai Super Kings,Delhi Capitals,CSK,DC,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Delhi Capitals,field,1,0,90,80,189,202,Delhi Capitals,DC,15 runs,Tristan Stubbs
11,2021,league,Royal Challengers Bangalore,Kolkata Knight Riders,RCB,KKR,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Kolkata Knight Riders,field,0,0,82,85,100,125,Kolkata Knight Riders,KKR,29 runs,Sunil Narine
12,2019,league,Sunrisers Hyderabad,Delhi Capitals,SRH,DC,"IS Bindra Stadium, Mohali",Mohali,pace,Delhi Capitals,bat,0,0,78,80,178,201,Delhi Capitals,DC,7 wickets,Kuldeep Yadav
13,2021,playoff,Gujarat Titans,Punjab Kings,GT,PBKS,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Gujarat Titans,field,1,0,86,75,201,182,Gujarat Titans,GT,26 runs,David Miller
14,2021,league,Mumbai Indians,Chennai Super Kings,MI,CSK,"Wankhede Stadium, Mumbai",Mumbai,batting,Mumbai Indians,bat,1,0,88,90,178,140,Mumbai Indians,MI,6 wickets,Jasprit Bumrah
15,2020,league,Kolkata Knight Riders,Delhi Capitals,KKR,DC,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Kolkata Knight Riders,bat,0,1,85,80,172,166,Kolkata Knight Riders,KKR,42 runs,Varun Chakravarthy
16,2023,league,Royal Challengers Bangalore,Gujarat Titans,RCB,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Royal Challengers Bangalore,field,0,1,82,86,171,175,Gujarat Titans,GT,5 wickets,Mohammed Shami
17,2020,playoff,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"Eden Gardens, Kolkata",Kolkata,balanced,Kolkata Knight Riders,field,1,0,85,78,186,158,Kolkata Knight Riders,KKR,6 runs,Varun Chakravarthy
18,2020,league,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Sunrisers Hyderabad,bat,0,0,85,78,191,184,Kolkata Knight Riders,KKR,1 wickets,Venkatesh Iyer
19,2022,league,Royal Challengers Bangalore,Lucknow Super Giants,RCB,LSG,"IS Bindra Stadium, Mohali",Mohali,pace,Lucknow Super Giants,bat,0,0,82,81,143,150,Lucknow Super Giants,LSG,2 wickets,Ayush Badoni
20,2026,league,Chennai Super Kings,Royal Challengers Bangalore,CSK,RCB,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Chennai Super Kings,bat,1,0,90,82,150,127,Chennai Super Kings,CSK,7 wickets,MS Dhoni
21,2021,league,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Kolkata Knight Riders,field,1,0,78,85,179,204,Kolkata Knight Riders,KKR,31 runs,Venkatesh Iyer
22,2022,league,Royal Challengers Bangalore,Mumbai Indians,RCB,MI,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Mumbai Indians,bat,1,0,82,88,220,221,Mumbai Indians,MI,7 wickets,Suryakumar Yadav
23,2024,league,Chennai Super Kings,Mumbai Indians,CSK,MI,"Wankhede Stadium, Mumbai",Mumbai,batting,Chennai Super Kings,field,0,1,90,88,144,151,Mumbai Indians,MI,31 runs,Tim David
24,2026,league,Kolkata Knight Riders,Chennai Super Kings,KKR,CSK,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Kolkata Knight Riders,field,0,1,85,90,143,117,Kolkata Knight Riders,KKR,32 runs,Varun Chakravarthy
25,2018,playoff,Rajasthan Royals,Lucknow Super Giants,RR,LSG,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Rajasthan Royals,field,0,1,83,81,162,185,Lucknow Super Giants,LSG,31 runs,Mark Wood
26,2023,league,Delhi Capitals,Rajasthan Royals,DC,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Delhi Capitals,field,0,1,80,83,178,168,Delhi Capitals,DC,7 wickets,Anrich Nortje
27,2024,league,Sunrisers Hyderabad,Gujarat Titans,SRH,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Sunrisers Hyderabad,field,0,1,78,86,166,186,Gujarat Titans,GT,4 wickets,Wriddhiman Saha
28,2021,final,Lucknow Super Giants,Mumbai Indians,LSG,MI,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,bat,0,0,81,88,182,159,Lucknow Super Giants,LSG,13 runs,Mark Wood
29,2025,league,Mumbai Indians,Rajasthan Royals,MI,RR,"Wankhede Stadium, Mumbai",Mumbai,batting,Mumbai Indians,field,1,0,88,83,194,167,Mumbai Indians,MI,8 runs,Tim David
30,2020,league,Mumbai Indians,Punjab Kings,MI,PBKS,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Punjab Kings,bat,0,0,88,75,146,156,Punjab Kings,PBKS,4 wickets,Kagiso Rabada
31,2020,league,Punjab Kings,Gujarat Titans,PBKS,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Gujarat Titans,field,0,1,75,86,151,143,Punjab Kings,PBKS,14 runs,Sam Curran
32,2019,league,Chennai Super Kings,Sunrisers Hyderabad,CSK,SRH,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Sunrisers Hyderabad,bat,1,0,90,78,153,139,Chennai Super Kings,CSK,2 wickets,Ravindra Jadeja
33,2021,league,Lucknow Super Giants,Mumbai Indians,LSG,MI,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Lucknow Super Giants,bat,0,0,81,88,162,132,Lucknow Super Giants,LSG,42 runs,Marcus Stoinis
34,2023,league,Royal Challengers Bangalore,Punjab Kings,RCB,PBKS,"IS Bindra Stadium, Mohali",Mohali,pace,Royal Challengers Bangalore,field,0,1,82,75,142,155,Punjab Kings,PBKS,2 wickets,Liam Livingstone
35,2018,league,Gujarat Titans,Rajasthan Royals,GT,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Rajasthan Royals,bat,0,1,86,83,165,122,Gujarat Titans,GT,6 wickets,David Miller
36,2024,league,Mumbai Indians,Rajasthan Royals,MI,RR,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Mumbai Indians,bat,0,0,88,83,207,176,Mumbai Indians,MI,6 wickets,Piyush Chawla
37,2025,league,Lucknow Super Giants,Sunrisers Hyderabad,LSG,SRH,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,field,0,0,81,78,185,160,Lucknow Super Giants,LSG,5 wickets,Mark Wood
38,2019,league,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,"Eden Gardens, Kolkata",Kolkata,balanced,Kolkata Knight Riders,bat,0,1,78,85,167,156,Sunrisers Hyderabad,SRH,2 wickets,T Natarajan
39,2021,league,Chennai Super Kings,Sunrisers Hyderabad,CSK,SRH,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Sunrisers Hyderabad,field,1,0,90,78,173,149,Chennai Super Kings,CSK,3 wickets,Ruturaj Gaikwad
40,2024,league,Rajasthan Royals,Gujarat Titans,RR,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Rajasthan Royals,bat,0,1,83,86,171,147,Rajasthan Royals,RR,47 runs,Trent Boult
41,2026,playoff,Rajasthan Royals,Royal Challengers Bangalore,RR,RCB,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Royal Challengers Bangalore,field,0,1,83,82,160,123,Rajasthan Royals,RR,43 runs,Trent Boult
42,2026,league,Punjab Kings,Kolkata Knight Riders,PBKS,KKR,"Eden Gardens, Kolkata",Kolkata,balanced,Punjab Kings,field,0,1,75,85,213,186,Punjab Kings,PBKS,11 runs,Shikhar Dhawan
