match_id,team1,team2,venue,pitch_type,match_format,toss_winner,toss_decision,team1_home,team2_home,team1_strength,team2_strength,team1_score,team2_score,winner
1,West Indies,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,T20,West Indies,bat,0,0,68,90,187,164,West Indies
2,Australia,Bangladesh,"Gaddafi Stadium, Lahore",spin,ODI,Bangladesh,bat,0,0,90,65,252,193,Australia
3,Afghanistan,Australia,"MA Chidambaram Stadium, Chennai",spin,T20,Afghanistan,field,0,0,70,90,137,166,Australia
4,Sri Lanka,West Indies,Sydney Cricket Ground,balanced,ODI,West Indies,field,0,0,72,68,295,343,West Indies
5,England,Australia,"Shere Bangla Stadium, Dhaka",spin,T20,England,field,0,0,85,90,145,135,England
6,South Africa,Australia,"Lord's, London",pace,T20,Australia,bat,0,0,84,90,139,162,Australia
7,Australia,Sri Lanka,Melbourne Cricket Ground,pace,T20,Australia,field,1,0,90,72,111,67,Australia
8,Pakistan,Afghanistan,"Lord's, London",pace,ODI,Pakistan,field,0,0,80,70,334,362,Afghanistan
9,India,England,Dubai International Stadium,spin,T20,England,field,0,0,92,85,182,139,India
10,South Africa,Australia,"Hagley Oval, Christchurch",pace,ODI,Australia,field,0,0,84,90,249,298,Australia
11,Sri Lanka,New Zealand,"The Oval, London",balanced,T20,Sri Lanka,bat,0,0,72,83,191,145,Sri Lanka
12,Australia,India,"Shere Bangla Stadium, Dhaka",spin,T20,India,bat,0,0,90,92,144,145,India
13,India,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,Australia,field,1,0,92,90,322,323,Australia
14,India,New Zealand,"Gaddafi Stadium, Lahore",spin,T20,New Zealand,field,0,0,92,83,187,176,India
15,Australia,New Zealand,"The Oval, London",balanced,T20,New Zealand,field,0,0,90,83,110,111,New Zealand
16,Sri Lanka,Australia,"Hagley Oval, Christchurch",pace,ODI,Sri Lanka,bat,0,0,72,90,252,194,Sri Lanka
17,West Indies,Afghanistan,"Hagley Oval, Christchurch",pace,T20,West Indies,field,0,0,68,70,166,127,West Indies
18,Australia,Sri Lanka,Melbourne Cricket Ground,pace,ODI,Sri Lanka,field,1,0,90,72,276,214,Australia
19,India,New Zealand,"Eden Gardens, Kolkata",balanced,T20,New Zealand,field,1,0,92,83,209,182,India
20,Pakistan,England,"R. Premadasa Stadium, Colombo",spin,ODI,England,field,0,0,80,85,315,340,England
21,New Zealand,England,"Shere Bangla Stadium, Dhaka",spin,ODI,England,field,0,0,83,85,327,359,England
22,India,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,India,bat,1,0,92,68,238,172,India
23,Bangladesh,England,"Eden Gardens, Kolkata",balanced,T20,England,field,0,0,65,85,195,217,England
24,Bangladesh,Pakistan,"R. Premadasa Stadium, Colombo",spin,ODI,Pakistan,bat,0,0,65,80,306,332,Pakistan
25,Pakistan,Bangladesh,Sydney Cricket Ground,balanced,ODI,Pakistan,field,0,0,80,65,280,274,Pakistan
26,Pakistan,New Zealand,"Kensington Oval, Barbados",batting,T20,Pakistan,field,0,0,80,83,163,192,New Zealand
27,Sri Lanka,New Zealand,"Gaddafi Stadium, Lahore",spin,ODI,New Zealand,bat,0,0,72,83,271,231,Sri Lanka
28,West Indies,Pakistan,"Lord's, London",pace,T20,Pakistan,bat,0,0,68,80,185,210,Pakistan
29,Afghanistan,Australia,"Kensington Oval, Barbados",batting,ODI,Afghanistan,bat,0,0,70,90,239,255,Australia
30,West Indies,Australia,Melbourne Cricket Ground,pace,ODI,West Indies,field,0,1,68,90,329,376,Australia
31,England,Afghanistan,"Eden Gardens, Kolkata",balanced,ODI,England,field,0,0,85,70,183,214,Afghanistan
32,India,New Zealand,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,India,bat,1,0,92,83,358,292,India
33,Sri Lanka,England,"Kensington Oval, Barbados",batting,ODI,England,field,0,0,72,85,275,276,England
34,Bangladesh,Afghanistan,"The Oval, London",balanced,T20,Afghanistan,field,0,0,65,70,133,103,Bangladesh
35,Australia,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,ODI,Australia,field,0,0,90,72,331,332,Sri Lanka
36,South Africa,Sri Lanka,"Wankhede Stadium, Mumbai",batting,ODI,South Africa,bat,0,0,84,72,356,347,South Africa
37,South Africa,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,South Africa,bat,0,0,84,68,257,219,South Africa
38,India,South Africa,"Wankhede Stadium, Mumbai",batting,ODI,South Africa,field,1,0,92,84,338,361,South Africa
39,India,South Africa,"Hagley Oval, Christchurch",pace,T20,South Africa,bat,0,0,92,84,108,132,South Africa
40,West Indies,Pakistan,"Wankhede Stadium, Mumbai",batting,ODI,Pakistan,bat,0,0,68,80,221,264,Pakistan
41,Australia,Pakistan,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,Australia,field,0,0,90,80,210,172,Australia
42,Bangladesh,South Africa,"Gaddafi Stadium, Lahore",spin,T20,South Africa,field,0,0,65,84,126,102,Bangladesh
43,India,South Africa,"M. Chinnaswamy Stadium, Bangalore",batting,T20,India,field,1,0,92,84,208,178,India
44,South Africa,England,"Kensington Oval, Barbados",batting,ODI,England,field,0,0,84,85,369,391,England
45,Pakistan,New Zealand,Sydney Cricket Ground,balanced,T20,New Zealand,field,0,0,80,83,169,163,Pakistan
46,South Africa,Australia,"The Oval, London",balanced,T20,South Africa,field,0,0,84,90,208,233,Australia
47,Pakistan,Sri Lanka,Sydney Cricket Ground,balanced,T20,Sri Lanka,field,0,0,80,72,170,181,Sri Lanka
48,Afghanistan,New Zealand,"Hagley Oval, Christchurch",pace,T20,New Zealand,bat,0,1,70,83,198,209,New Zealand
49,South Africa,Afghanistan,"Hagley Oval, Christchurch",pace,T20,Afghanistan,bat,0,0,84,70,148,105,South Africa
50,India,South Africa,"R. Premadasa Stadium, Colombo",spin,T20,South Africa,bat,0,0,92,84,201,220,South Africa
51,Australia,England,"Lord's, London",pace,T20,England,field,0,1,90,85,132,152,England
52,Bangladesh,New Zealand,"Wankhede Stadium, Mumbai",batting,T20,Bangladesh,bat,0,0,65,83,225,213,Bangladesh
53,Australia,Afghanistan,"The Oval, London",balanced,ODI,Australia,field,0,0,90,70,375,297,Australia
54,New Zealand,India,"The Oval, London",balanced,ODI,India,bat,0,0,83,92,231,279,India
55,Sri Lanka,Pakistan,"Newlands, Cape Town",pace,ODI,Pakistan,bat,0,0,72,80,238,233,Sri Lanka
56,Bangladesh,Australia,"MA Chidambaram Stadium, Chennai",spin,ODI,Bangladesh,bat,0,0,65,90,295,297,Australia
57,Afghanistan,New Zealand,"Hagley Oval, Christchurch",pace,ODI,Afghanistan,bat,0,1,70,83,275,297,New Zealand
58,England,West Indies,Sydney Cricket Ground,balanced,T20,West Indies,bat,0,0,85,68,151,126,England
59,Australia,West Indies,"R. Premadasa Stadium, Colombo",spin,ODI,West Indies,field,0,0,90,68,257,215,Australia
60,Bangladesh,West Indies,"Eden Gardens, Kolkata",balanced,T20,West Indies,field,0,0,65,68,179,204,West Indies
61,Pakistan,India,"Shere Bangla Stadium, Dhaka",spin,T20,Pakistan,bat,0,0,80,92,173,128,Pakistan
62,West Indies,India,"Wankhede Stadium, Mumbai",batting,ODI,West Indies,field,0,1,68,92,368,369,India
63,India,Pakistan,"MA Chidambaram Stadium, Chennai",spin,T20,India,bat,1,0,92,80,159,111,India
64,Afghanistan,New Zealand,"Newlands, Cape Town",pace,T20,Afghanistan,bat,0,0,70,83,205,211,New Zealand
65,West Indies,England,Sydney Cricket Ground,balanced,ODI,England,field,0,0,68,85,206,149,West Indies
66,West Indies,England,Sydney Cricket Ground,balanced,ODI,West Indies,bat,0,0,68,85,289,328,England
67,West Indies,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,T20,West Indies,bat,0,0,68,72,171,192,Sri Lanka
68,South Africa,Australia,"Gaddafi Stadium, Lahore",spin,T20,South Africa,bat,0,0,84,90,156,158,Australia
69,Pakistan,Australia,"Newlands, Cape Town",pace,ODI,Pakistan,field,0,0,80,90,273,291,Australia
70,South Africa,Bangladesh,Sydney Cricket Ground,balanced,ODI,Bangladesh,bat,0,0,84,65,247,270,Bangladesh
71,West Indies,India,"R. Premadasa Stadium, Colombo",spin,T20,West Indies,bat,0,0,68,92,122,129,India
72,England,Afghanistan,"Kensington Oval, Barbados",batting,ODI,Afghanistan,field,0,0,85,70,231,188,England
73,Australia,Sri Lanka,"Gaddafi Stadium, Lahore",spin,ODI,Sri Lanka,field,0,0,90,72,251,179,Australia
74,Afghanistan,South Africa,"The Oval, London",balanced,T20,South Africa,bat,0,0,70,84,144,168,South Africa
75,West Indies,New Zealand,Sydney Cricket Ground,balanced,ODI,West Indies,field,0,0,68,83,255,202,West Indies
76,Bangladesh,Pakistan,"Eden Gardens, Kolkata",balanced,ODI,Pakistan,field,0,0,65,80,210,257,Pakistan
77,Bangladesh,Sri Lanka,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Bangladesh,bat,0,0,65,72,203,218,Sri Lanka
78,West Indies,South Africa,"Kensington Oval, Barbados",batting,T20,South Africa,bat,1,0,68,84,232,258,South Africa
79,Pakistan,Sri Lanka,"The Oval, London",balanced,ODI,Pakistan,field,0,0,80,72,258,194,Pakistan
80,Pakistan,Afghanistan,"Gaddafi Stadium, Lahore",spin,ODI,Afghanistan,field,1,0,80,70,253,255,Afghanistan
81,Pakistan,England,Sydney Cricket Ground,balanced,T20,Pakistan,field,0,0,80,85,175,193,England
82,England,Bangladesh,"Gaddafi Stadium, Lahore",spin,T20,Bangladesh,bat,0,0,85,65,163,170,Bangladesh
83,Afghanistan,South Africa,"Eden Gardens, Kolkata",balanced,T20,South Africa,field,0,0,70,84,176,154,Afghanistan
84,Australia,West Indies,Melbourne Cricket Ground,pace,T20,Australia,field,1,0,90,68,103,63,Australia
85,Pakistan,New Zealand,Dubai International Stadium,spin,ODI,New Zealand,bat,1,0,80,83,141,113,Pakistan
86,West Indies,Bangladesh,"Newlands, Cape Town",pace,T20,Bangladesh,bat,0,0,68,65,159,144,West Indies
87,South Africa,Afghanistan,Sydney Cricket Ground,balanced,T20,Afghanistan,field,0,0,84,70,189,172,South Africa
88,West Indies,England,"Wankhede Stadium, Mumbai",batting,T20,England,field,0,0,68,85,189,148,West Indies
89,India,South Africa,"Gaddafi Stadium, Lahore",spin,T20,India,field,0,0,92,84,207,197,India
90,India,New Zealand,Sydney Cricket Ground,balanced,ODI,New Zealand,field,0,0,92,83,313,297,India
91,India,South Africa,"Kensington Oval, Barbados",batting,ODI,South Africa,field,0,0,92,84,199,134,India
92,Bangladesh,Afghanistan,"The Oval, London",balanced,T20,Afghanistan,field,0,0,65,70,249,268,Afghanistan
93,India,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,T20,Sri Lanka,field,1,0,92,72,155,120,India
94,India,Afghanistan,"Lord's, London",pace,ODI,India,field,0,0,92,70,270,264,India
95,Afghanistan,New Zealand,Melbourne Cricket Ground,pace,T20,Afghanistan,bat,0,0,70,83,149,137,Afghanistan
96,Pakistan,Australia,Sydney Cricket Ground,balanced,T20,Australia,bat,0,1,80,90,205,229,Australia
97,India,Sri Lanka,"Newlands, Cape Town",pace,ODI,India,bat,0,0,92,72,321,297,India
98,Pakistan,South Africa,"Newlands, Cape Town",pace,T20,Pakistan,field,0,1,80,84,141,154,South Africa
99,Sri Lanka,Pakistan,"Kensington Oval, Barbados",batting,T20,Pakistan,bat,0,0,72,80,147,165,Pakistan
100,New Zealand,Australia,"MA Chidambaram Stadium, Chennai",spin,T20,New Zealand,field,0,0,83,90,222,250,Australia
101,England,West Indies,"Kensington Oval, Barbados",batting,ODI,England,bat,0,1,85,68,250,284,West Indies
102,South Africa,Pakistan,"Lord's, London",pace,T20,South Africa,bat,0,0,84,80,125,94,South Africa
103,Pakistan,Sri Lanka,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Sri Lanka,field,0,0,80,72,112,133,Sri Lanka
104,Pakistan,India,"Lord's, London",pace,T20,India,field,0,0,80,92,173,189,India
105,Pakistan,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Australia,bat,0,0,80,90,236,246,Australia
106,England,Pakistan,Dubai International Stadium,spin,ODI,England,field,0,1,85,80,245,199,England
107,England,Australia,"Shere Bangla Stadium, Dhaka",spin,T20,England,bat,0,0,85,90,154,179,Australia
108,South Africa,New Zealand,"M. Chinnaswamy Stadium, Bangalore",batting,T20,New Zealand,field,0,0,84,83,202,195,South Africa
109,Bangladesh,West Indies,Melbourne Cricket Ground,pace,ODI,Bangladesh,bat,0,0,65,68,295,313,West Indies
110,Bangladesh,Australia,"Hagley Oval, Christchurch",pace,T20,Australia,bat,0,0,65,90,141,149,Australia
111,Bangladesh,Afghanistan,"Lord's, London",pace,T20,Afghanistan,field,0,0,65,70,172,175,Afghanistan
112,West Indies,India,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,India,field,0,1,68,92,358,374,India
113,Pakistan,Australia,"R. Premadasa Stadium, Colombo",spin,T20,Pakistan,bat,0,0,80,90,180,188,Australia
114,England,Bangladesh,"MA Chidambaram Stadium, Chennai",spin,ODI,England,bat,0,0,85,65,189,120,England
115,India,New Zealand,"M. Chinnaswamy Stadium, Bangalore",batting,T20,New Zealand,field,1,0,92,83,193,196,New Zealand
116,Australia,West Indies,"Eden Gardens, Kolkata",balanced,ODI,Australia,field,0,0,90,68,317,342,West Indies
117,New Zealand,England,"Kensington Oval, Barbados",batting,ODI,England,field,0,0,83,85,247,211,New Zealand
118,India,Sri Lanka,"Hagley Oval, Christchurch",pace,ODI,India,bat,0,0,92,72,215,226,Sri Lanka
119,Afghanistan,South Africa,"Hagley Oval, Christchurch",pace,ODI,South Africa,bat,0,0,70,84,283,312,South Africa
120,India,Sri Lanka,"Kensington Oval, Barbados",batting,ODI,India,bat,0,0,92,72,343,345,Sri Lanka
121,India,South Africa,"Lord's, London",pace,ODI,India,bat,0,0,92,84,279,305,South Africa
122,New Zealand,Pakistan,"Kensington Oval, Barbados",batting,T20,Pakistan,bat,0,0,83,80,172,129,New Zealand
123,Pakistan,England,"Hagley Oval, Christchurch",pace,T20,England,field,0,0,80,85,149,173,England
124,Afghanistan,Australia,"Newlands, Cape Town",pace,ODI,Afghanistan,field,0,0,70,90,251,236,Afghanistan
125,Pakistan,India,Melbourne Cricket Ground,pace,ODI,India,field,0,0,80,92,244,284,India
126,South Africa,New Zealand,"R. Premadasa Stadium, Colombo",spin,T20,South Africa,field,0,0,84,83,237,204,South Africa
127,New Zealand,Sri Lanka,"Hagley Oval, Christchurch",pace,T20,Sri Lanka,field,1,0,83,72,152,115,New Zealand
128,Pakistan,New Zealand,"Kensington Oval, Barbados",batting,T20,New Zealand,field,0,0,80,83,220,231,New Zealand
